id,from_account,to_account,amount,timestamp,description
TXN000001,CYCLE0_ACC0,CYCLE0_ACC1,81333.55,2025-12-06T17:58:01,SUSPICIOUS: Circular ring transaction
TXN000002,CYCLE0_ACC1,CYCLE0_ACC2,79706.879,2025-12-06T18:03:01,SUSPICIOUS: Circular ring transaction
TXN000003,CYCLE0_ACC2,CYCLE0_ACC3,78080.208,2025-12-06T18:08:01,SUSPICIOUS: Circular ring transaction
TXN000004,CYCLE0_ACC3,CYCLE0_ACC4,76453.537,2025-12-06T18:13:01,SUSPICIOUS: Circular ring transaction
TXN000005,CYCLE0_ACC4,CYCLE0_ACC0,74826.86600000001,2025-12-06T18:18:01,SUSPICIOUS: Circular ring transaction
TXN000006,CYCLE1_ACC0,CYCLE1_ACC1,13394.26,2025-12-19T13:40:44,SUSPICIOUS: Circular ring transaction
TXN000007,CYCLE1_ACC1,CYCLE1_ACC2,13126.3748,2025-12-19T13:45:44,SUSPICIOUS: Circular ring transaction
TXN000008,CYCLE1_ACC2,CYCLE1_ACC3,12858.4896,2025-12-19T13:50:44,SUSPICIOUS: Circular ring transaction
TXN000009,CYCLE1_ACC3,CYCLE1_ACC4,12590.6044,2025-12-19T13:55:44,SUSPICIOUS: Circular ring transaction
TXN000010,CYCLE1_ACC4,CYCLE1_ACC5,12322.7192,2025-12-19T14:00:44,SUSPICIOUS: Circular ring transaction
TXN000011,CYCLE1_ACC5,CYCLE1_ACC0,12054.834,2025-12-19T14:05:44,SUSPICIOUS: Circular ring transaction
TXN000012,CYCLE2_ACC0,CYCLE2_ACC1,85310.04,2025-12-15T14:46:05,SUSPICIOUS: Circular ring transaction
TXN000013,CYCLE2_ACC1,CYCLE2_ACC2,83603.83919999999,2025-12-15T14:51:05,SUSPICIOUS: Circular ring transaction
TXN000014,CYCLE2_ACC2,CYCLE2_ACC3,81897.6384,2025-12-15T14:56:05,SUSPICIOUS: Circular ring transaction
TXN000015,CYCLE2_ACC3,CYCLE2_ACC4,80191.43759999999,2025-12-15T15:01:05,SUSPICIOUS: Circular ring transaction
TXN000016,CYCLE2_ACC4,CYCLE2_ACC5,78485.2368,2025-12-15T15:06:05,SUSPICIOUS: Circular ring transaction
TXN000017,CYCLE2_ACC5,CYCLE2_ACC0,76779.036,2025-12-15T15:11:05,SUSPICIOUS: Circular ring transaction
TXN000018,CYCLE3_ACC0,CYCLE3_ACC1,95024.51,2025-12-17T02:00:23,SUSPICIOUS: Circular ring transaction
TXN000019,CYCLE3_ACC1,CYCLE3_ACC2,93124.0198,2025-12-17T02:05:23,SUSPICIOUS: Circular ring transaction
TXN000020,CYCLE3_ACC2,CYCLE3_ACC3,91223.5296,2025-12-17T02:10:23,SUSPICIOUS: Circular ring transaction
TXN000021,CYCLE3_ACC3,CYCLE3_ACC4,89323.0394,2025-12-17T02:15:23,SUSPICIOUS: Circular ring transaction
TXN000022,CYCLE3_ACC4,CYCLE3_ACC0,87422.5492,2025-12-17T02:20:23,SUSPICIOUS: Circular ring transaction
TXN000023,CYCLE4_ACC0,CYCLE4_ACC1,64706.61,2025-12-15T22:10:31,SUSPICIOUS: Circular ring transaction
TXN000024,CYCLE4_ACC1,CYCLE4_ACC2,63412.4778,2025-12-15T22:15:31,SUSPICIOUS: Circular ring transaction
TXN000025,CYCLE4_ACC2,CYCLE4_ACC3,62118.3456,2025-12-15T22:20:31,SUSPICIOUS: Circular ring transaction
TXN000026,CYCLE4_ACC3,CYCLE4_ACC4,60824.2134,2025-12-15T22:25:31,SUSPICIOUS: Circular ring transaction
TXN000027,CYCLE4_ACC4,CYCLE4_ACC5,59530.0812,2025-12-15T22:30:31,SUSPICIOUS: Circular ring transaction
TXN000028,CYCLE4_ACC5,CYCLE4_ACC0,58235.949,2025-12-15T22:35:31,SUSPICIOUS: Circular ring transaction
TXN000029,CYCLE5_ACC0,CYCLE5_ACC1,63452.38,2025-12-24T07:20:25,SUSPICIOUS: Circular ring transaction
TXN000030,CYCLE5_ACC1,CYCLE5_ACC2,62183.3324,2025-12-24T07:25:25,SUSPICIOUS: Circular ring transaction
TXN000031,CYCLE5_ACC2,CYCLE5_ACC3,60914.284799999994,2025-12-24T07:30:25,SUSPICIOUS: Circular ring transaction
TXN000032,CYCLE5_ACC3,CYCLE5_ACC4,59645.237199999996,2025-12-24T07:35:25,SUSPICIOUS: Circular ring transaction
TXN000033,CYCLE5_ACC4,CYCLE5_ACC0,58376.1896,2025-12-24T07:40:25,SUSPICIOUS: Circular ring transaction
TXN000034,CYCLE6_ACC0,CYCLE6_ACC1,42263.31,2025-12-05T04:27:21,SUSPICIOUS: Circular ring transaction
TXN000035,CYCLE6_ACC1,CYCLE6_ACC2,41418.0438,2025-12-05T04:32:21,SUSPICIOUS: Circular ring transaction
TXN000036,CYCLE6_ACC2,CYCLE6_ACC0,40572.7776,2025-12-05T04:37:21,SUSPICIOUS: Circular ring transaction
TXN000037,CYCLE7_ACC0,CYCLE7_ACC1,54104.27,2025-12-17T11:44:56,SUSPICIOUS: Circular ring transaction
TXN000038,CYCLE7_ACC1,CYCLE7_ACC2,53022.18459999999,2025-12-17T11:49:56,SUSPICIOUS: Circular ring transaction
TXN000039,CYCLE7_ACC2,CYCLE7_ACC3,51940.0992,2025-12-17T11:54:56,SUSPICIOUS: Circular ring transaction
TXN000040,CYCLE7_ACC3,CYCLE7_ACC0,50858.0138,2025-12-17T11:59:56,SUSPICIOUS: Circular ring transaction
TXN000041,CYCLE8_ACC0,CYCLE8_ACC1,84510.06,2025-12-29T22:16:15,SUSPICIOUS: Circular ring transaction
TXN000042,CYCLE8_ACC1,CYCLE8_ACC2,82819.8588,2025-12-29T22:21:15,SUSPICIOUS: Circular ring transaction
TXN000043,CYCLE8_ACC2,CYCLE8_ACC3,81129.65759999999,2025-12-29T22:26:15,SUSPICIOUS: Circular ring transaction
TXN000044,CYCLE8_ACC3,CYCLE8_ACC4,79439.4564,2025-12-29T22:31:15,SUSPICIOUS: Circular ring transaction
TXN000045,CYCLE8_ACC4,CYCLE8_ACC0,77749.2552,2025-12-29T22:36:15,SUSPICIOUS: Circular ring transaction
TXN000046,CYCLE9_ACC0,CYCLE9_ACC1,58464.98,2025-12-11T23:01:01,SUSPICIOUS: Circular ring transaction
TXN000047,CYCLE9_ACC1,CYCLE9_ACC2,57295.680400000005,2025-12-11T23:06:01,SUSPICIOUS: Circular ring transaction
TXN000048,CYCLE9_ACC2,CYCLE9_ACC3,56126.380800000006,2025-12-11T23:11:01,SUSPICIOUS: Circular ring transaction
TXN000049,CYCLE9_ACC3,CYCLE9_ACC0,54957.0812,2025-12-11T23:16:01,SUSPICIOUS: Circular ring transaction
TXN000050,CYCLE10_ACC0,CYCLE10_ACC1,21703.93,2025-12-07T04:53:46,SUSPICIOUS: Circular ring transaction
TXN000051,CYCLE10_ACC1,CYCLE10_ACC2,21269.8514,2025-12-07T04:58:46,SUSPICIOUS: Circular ring transaction
TXN000052,CYCLE10_ACC2,CYCLE10_ACC0,20835.7728,2025-12-07T05:03:46,SUSPICIOUS: Circular ring transaction
