id,from_account,to_account,amount,timestamp,description
TXN001,ACC001,ACC002,5000.00,2025-12-15T10:30:00,Payment transfer
TXN002,ACC002,ACC003,5000.00,2025-12-15T11:00:00,Invoice payment
TXN003,ACC003,ACC001,10000.00,2025-12-15T11:30:00,Refund
TXN004,ACC001,ACC004,3000.00,2025-12-15T12:00:00,Bill payment
TXN005,ACC004,ACC005,3000.00,2025-12-15T12:30:00,Transfer
TXN006,ACC005,ACC002,3000.00,2025-12-15T13:00:00,Deposit
TXN007,ACC002,ACC001,3000.00,2025-12-15T13:30:00,Refund
TXN008,ACC001,ACC006,15000.00,2025-12-15T14:00:00,Large transfer
TXN009,ACC006,ACC007,15000.00,2025-12-15T14:30:00,Forward
TXN010,ACC007,ACC008,15000.00,2025-12-15T15:00:00,Distribution
TXN011,ACC008,ACC001,14000.00,2025-12-15T15:30:00,Partial return
TXN012,ACC001,ACC009,5500.00,2025-12-15T16:00:00,Split 1
TXN013,ACC001,ACC010,5500.00,2025-12-15T16:05:00,Split 2
TXN014,ACC001,ACC011,5500.00,2025-12-15T16:10:00,Split 3
TXN015,ACC001,ACC012,5000.00,2025-12-15T16:15:00,Split 4
TXN016,ACC009,ACC002,5000.00,2025-12-15T16:30:00,Consolidation 1
TXN017,ACC010,ACC002,5000.00,2025-12-15T16:45:00,Consolidation 2
TXN018,ACC011,ACC002,5000.00,2025-12-15T17:00:00,Consolidation 3
TXN019,ACC012,ACC002,5000.00,2025-12-15T17:15:00,Consolidation 4
TXN020,ACC002,ACC013,20000.00,2025-12-15T17:30:00,Large transfer
TXN021,ACC021,ACC022,2000.00,2025-12-16T08:00:00,Normal payment
TXN022,ACC022,ACC023,2000.00,2025-12-16T08:30:00,Normal transfer
TXN023,ACC023,ACC024,2000.00,2025-12-16T09:00:00,Normal payment
TXN024,ACC024,ACC025,2000.00,2025-12-16T09:30:00,Normal transfer
TXN025,ACC025,ACC026,2000.00,2025-12-16T10:00:00,Normal payment
